time                   Mass                   Q                   dMdt                dQdt                    fM                      hM                      delta_t               
6.776191811978831e-06  1e+17                  0.2                 -1701805.5188271403 0.0                     3.0207784500610296e+111 0.0                     3.5144898939776014e-06
1.3624938366150174e-05 9.999999999999998e+16  0.2                 -1701805.5188271408 0.0                     3.0207784500610296e+111 0.0                     6.848746554171342e-06 
2.830583484219793e-05  9.999999999999997e+16  0.2                 -1701805.5188271434 0.0                     3.020778450061033e+111  0.0                     1.4680896476047757e-05
5.691474884840195e-05  9.999999999999992e+16  0.2                 -1701805.5188271436 0.0                     3.02077845006103e+111   0.0                     2.8608914006204027e-05
0.00011824049677835323 9.999999999999982e+16  0.2                 -1701805.518827146  0.0                     3.0207784500610285e+111 0.0                     6.132574792995128e-05 
0.00023774703043973896 9.999999999999962e+16  0.2                 -1701805.5188271527 0.0                     3.020778450061028e+111  0.0                     0.00011950653366138572
0.0004939198987181739  9.999999999999918e+16  0.2                 -1701805.518827169  0.0                     3.0207784500610307e+111 0.0                     0.0002561728682784349 
0.0009931283476884078  9.999999999999834e+16  0.2                 -1701805.518827197  0.0                     3.020778450061029e+111  0.0                     0.000499208448970234  
0.002063225992758458   9.999999999999651e+16  0.2                 -1701805.51882726   0.0                     3.0207784500610307e+111 0.0                     0.0010700976450700504 
0.004148543572376197   9.999999999999298e+16  0.2                 -1701805.5188273794 0.0                     3.020778450061029e+111  0.0                     0.002085317579617739  
0.00861860700134107    9.999999999998536e+16  0.2                 -1701805.5188276386 0.0                     3.020778450061029e+111  0.0                     0.004470063428964873  
0.01732949604344956    9.999999999997054e+16  0.2                 -1701805.5188281436 0.0                     3.0207784500610307e+111 0.0                     0.00871088904210849   
0.03600206031926495    9.999999999993877e+16  0.2                 -1701805.518829224  0.0                     3.020778450061028e+111  0.0                     0.01867256427581539   
0.07238960562439553    9.999999999987685e+16  0.2                 -1701805.5188313331 0.0                     3.0207784500610307e+111 0.0                     0.03638754530513059   
0.15038954056384155    9.999999999974411e+16  0.2                 -1701805.5188358505 0.0                     3.02077845006103e+111   0.0                     0.07799993493944601   
0.30238934757922753    9.999999999948544e+16  0.2                 -1701805.5188446546 0.0                     3.02077845006103e+111   0.0                     0.151999807015386     
0.6282144330195687     9.999999999893096e+16  0.2                 -1701805.518863526  0.0                     3.0207784500610285e+111 0.0                     0.3258250854403412    
