time                   Mass                   Q                     dMdt                    dQdt                    fM                     hM                     delta_t               
348449143727.041       1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    174224571863.5205     
696898287454.082       1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    348449143727.041      
1393796574908.164      1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    696898287454.082      
2787593149816.328      1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    1393796574908.164     
5575186299632.656      1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    2787593149816.328     
11150372599265.312     1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    5575186299632.656     
22300745198530.625     1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    11150372599265.312    
44601490397061.25      1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    22300745198530.625    
89202980794122.5       1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    44601490397061.25     
178405961588245.0      1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    89202980794122.5      
356811923176490.0      1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    178405961588245.0     
713623846352980.0      1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    356811923176490.0     
1427247692705960.0     1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    713623846352980.0     
2854495385411920.0     1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    1427247692705960.0    
5708990770823840.0     1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    2854495385411920.0    
1.141798154164768e+16  1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    5708990770823840.0    
2.283596308329536e+16  1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    1.141798154164768e+16 
4.567192616659072e+16  1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    2.283596308329536e+16 
9.134385233318144e+16  1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    4.567192616659072e+16 
1.8268770466636288e+17 1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    9.134385233318144e+16 
3.6537540933272576e+17 1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    1.8268770466636288e+17
7.307508186654515e+17  1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    3.6537540933272576e+17
1.461501637330903e+18  1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    7.307508186654515e+17 
2.923003274661806e+18  1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    1.461501637330903e+18 
5.846006549323612e+18  1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    2.923003274661806e+18 
1.1692013098647224e+19 1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    5.846006549323612e+18 
2.338402619729445e+19  1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    1.1692013098647224e+19
4.67680523945889e+19   1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    2.338402619729445e+19 
9.35361047891778e+19   1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    4.67680523945889e+19  
1.870722095783556e+20  1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    9.35361047891778e+19  
3.741444191567112e+20  1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    1.870722095783556e+20 
7.482888383134224e+20  1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    3.741444191567112e+20 
1.4965776766268447e+21 1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    7.482888383134224e+20 
2.9931553532536894e+21 1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    1.4965776766268447e+21
5.986310706507379e+21  1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    2.9931553532536894e+21
1.1972621413014758e+22 1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    5.986310706507379e+21 
2.3945242826029515e+22 1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    1.1972621413014758e+22
4.789048565205903e+22  1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    2.3945242826029515e+22
9.578097130411806e+22  1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    4.789048565205903e+22 
1.9156194260823612e+23 1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    9.578097130411806e+22 
3.8312388521647225e+23 1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    1.9156194260823612e+23
7.662477704329445e+23  1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    3.8312388521647225e+23
1.532495540865889e+24  1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    7.662477704329445e+23 
3.064991081731778e+24  1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    1.532495540865889e+24 
6.129982163463556e+24  1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    3.064991081731778e+24 
1.2259964326927112e+25 1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    6.129982163463556e+24 
2.4519928653854224e+25 1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    1.2259964326927112e+25
4.903985730770845e+25  1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    2.4519928653854224e+25
9.80797146154169e+25   1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    4.903985730770845e+25 
1.961594292308338e+26  1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    9.80797146154169e+25  
3.923188584616676e+26  1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    1.961594292308338e+26 
